sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
2531349	reference	regret	7	7	5	5	And you cause me to regret my reference to dictionaries in my first comment - - I over-simplified .
2538721	behaviour	regret	10	10	7	7	And the proof that you do not regret your disgraceful behaviour is that you keep doing the same things , offending me over and over .
2560081	Comment	Regrets	5	5	2	2	Andy Rooney Regrets a Racist Comment in a Recent Column .
2560637	departure	regrets	19	19	17	17	Andy Sneap has stated that this was a drink related departure and Jones himself has said he regrets his departure in a recent video on Andy Sneap ' s MySpace .
2595628	decision	regret	9	9	7	7	An enraged Jenny vows to make Matt regret the decision , using her superpowers to publicly embarrass him , throwing his car into space and eventually causing him to lose his job when she strips him naked during an important meeting .
2615628	witch-hunt	regret	12	12	9	9	Among on 1560 and 1600 , Alsace had to regret a real witch-hunt .
2764134	act	regretted	10	10	8	8	An important thing to note is that Dutthagamani regretted his act , and this was also true of King Asoka , who became a pacifist after a series of bloody military campaigns .
2797811	rudeness	regret	18	18	16	16	Annoyed and angered , the traveller introduces herself as Mokera , and tells Helios he will regret his rudeness toward her .
2887348	incident	regretted	10	10	8	8	An executive of the production company said he regretted the incident and blamed it on `` a simple yet colossal error in judgement by a member of our staff .
2961506	decision	regrets	11	11	9	9	Abandoned and alone in retirement at Saltwood Castle Clark regrets his decision to leave politics .
3010171	death	regrets	9	9	14	14	A bitter Cudi never apologized to him before his death , which he now regrets .
3016482	incident	regret	17	17	13	13	Abe ' s statement before receiving sentencing began , `` The thing I regret most about this incident is that I have come to be misunderstood as some kind of sexual pervert .
3136381	choice	regretted	4	4	2	2	Ahidjo later regretted his choice of successors , but his supporters failed to overthrow Biya in a 1984 coup .
3197395	decision	regrets	8	8	6	6	I see and respect that he regrets his decision to cancel the recall , and I am strongly inclined to think that he would not do it again , but I make that judgment as a fellow user , not as a bureaucrat .
3198065	way	regret	10	10	8	8	I see as admin abuses ; I deeply regret the way I often handled those matters , as I feel that due to poor interaction I may have done little or nothing to get anyone else to change their behavior and in the meantime caused suffering to myself .
3230580	account	regret	5	5	9	9	I signed up for another account -LRB- which I regret , really -RRB- .
3234196	confusion	regret	4	4	2	2	I sincerely regret any confusion and hope that our customers and friends will come and see the exciting new products and enjoy the unique shopping experience at the Williamsburg Pottery .
3234203	failure	regret	4	4	2	2	I sincerely regret my failure to vote on that case , and I realise I am late in voting here , but I think that case was wrongly decided .
3234204	involvement	regret	4	4	2	2	I sincerely regret my involvement in this case .
3242042	treatment	regrets	7	7	4	4	Ishak ' s wife regrets her earlier treatment of the girls and repents , treating them splendidly and supporting Dhalia ' s plans to open an orphanage .
3254765	loss	regrets	4	4	2	2	Israel profoundly regrets the loss of human life at Kana and has thoroughly investigated this tragic incident which was caused , first and foremost , by the firing of Katyusha rockets and mortars by Hizbullah from a location in close proximity to the UN position ; We reiterate that the IDF had no intention whatsoever of firing on the UN position at Kana .
3254981	loss	regrets	3	3	1	1	Israel regrets the loss of life .
3255834	death	regrets	5	5	2	2	Israel sincerely regrets the tragic death of the UN personnel in south Lebanon .
3277398	time	regret	5	5	2	2	I slightly regret the second time .
3323560	choice	regret	9	9	7	7	After a while , he comes to regret his choice .
3329057	involvement	regrets	19	19	17	17	After being enlisted by the two , Lettie is left heartbroken by a callous young man and regrets her involvement .
3384710	loss	regretted	17	17	15	15	After hearing that McPherson was mortally wounded in the Battle of Atlanta , Hood deeply regretted his loss .
3431160	divorce	regrets	23	23	21	21	After Ethan is poisioned and falls into a coma , Gwen realizes that she is still in love with him and regrets their divorce .
3464064	involvement	regretted	12	12	10	10	After bombs were dropped on Hiroshima and Nagasaki , Porter regretted his involvement with the project and became an outspoken pacifist .
3541536	task	regrets	30	30	28	28	After a brusque hearing before a military tribunal , he and the Count are both sentenced to the firing squad the next morning by an officer who obviously regrets the task .
3544013	sex	regret	29	29	33	33	After a Christmas party where they drink too much and are forced to kiss under the mistletoe , they go back to Amir ' s apartment and have drunken sex , which they regret , but Amir thinks that he has fallen in love with Zara .
3687471	minute	regretted	18	18	15	15	Abdul Aziz ' s brother Abdullah told reporters that Abdul Aziz voluntarily surrendered , and regretted `` every minute '' he worked with Saad Al Faqih , the director of the Movement for Islamic Reform in Arabia .
3802891	love	regretted	20	20	19	19	According to the analysis made by magazine Instant-Mag , the video is the `` metaphor of a past and regretted love '' .
3863152	behaviour	regrets	10	10	8	8	Adina immediately recognises Nemorino ' s sincerity , regrets her behaviour and realises that she has loved Nemorino all along .
3867291	fondness	regrets	10	10	5	5	A discerning man , he regrets Lady Constance ' s fondness for artistic types , finding their dress sense inappropriate .
3969458	move	regretted	22	22	20	20	According to some accounts , Linden initially gave up the team captaincy to Messier out of respect , but later regretted the move as he felt that Messier ' s invasion of the dressing room was hostile .
3976761	decision	regretting	26	26	24	24	According to Miller , Thorne was the first person to buy a seat on the Indy 500 grid , and often left team owners regretting their decision .
4032465	action	regrets	62	62	60	60	According to the writers ' audio commentary from the Curse of the Black Pearl DVD , Norrington was originally written as an evil character intended to join forces with Hector Barbossa , but the idea was later used in Dead Man ' s Chest , where he betrays his comrades and sides with Lord Cutler Beckett -LRB- although he later regrets this action -RRB- .
4049414	marriage	regretted	19	19	17	17	Acker got involved with Valentino in part to remove herself from the lesbian love triangle , quickly regretted the marriage , and locked Valentino out of their room on their wedding night .
