sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
71623499	arm	discontinued	7	7	4	4	The University of Melbourne discontinued its TAFE arm -LRB- which specialised in agriculture and forestry -RRB- at the start of 2007 .
71636696	spelling	discontinue	34	34	31	31	The use of the long-standing alternative spelling sulphone is discouraged by IUPAC ; it is definitely undesirable to have two spellings in simultaneous common use , and it was agreed to discontinue the ph spelling as the more archaic .
71638302	lonce	discontinued	8	8	11	11	The use of the traditional jati panchayats have lonce since been discontinued by the Khaire community which now makes use of the gram panchayat , while still consulting community elders for some social disputes .
71659019	usage	discontinue	8	8	6	6	The US Supreme Court did not discontinue its usage and repeatedly ruled against hearing citizens that underwent forced confessions , even after they were found innocent , claiming that a trial would constitute a breach of national security .
71723518	picture	discontinued	5	5	2	2	The website discontinued the tombstone picture in October 2005 .
71749486	story	discontinues	6	6	2	2	The video discontinues the fictional love story between Basshunter and Aylar Lie ; a feature of all previous Basshunter music videos due to his recent torrid love affair with a young British woman -LRB- Rachael Elliff -RRB- who ' s insane jealousy demanded it .
71783007	service	discontinue	12	12	7	7	The Washington Post reported that they would discontinue the Washington Post Radio service after Bonneville decided to pull the plug , citing financial losses and low ratings .
71809844	format	discontinued	18	18	14	14	The Wave '' , now Spanish music station KLQV -RRB- , returning when KSWV discontinued their Smooth Jazz format .
71821915	policy	discontinued	19	19	16	16	The war being over , Pope Pius XII , faced with a long term problem , discontinued his war-time policy of neutrality .
71833013	portion	discontinue	7	7	5	5	The Western Pacific applied to discontinue its portion in 1966 but the Interstate Commerce Commission -LRB- ICC -RRB- refused after public outcry .
71835319	competition	discontinued	4	4	2	2	The WMAC discontinued all competition until the Dragon Star could be recovered .
71835971	service	discontinued	5	5	3	3	The WNBA has discontinued this service ; today , all national broadcasts are on ABC , ESPN2 , or NBA TV .
71871488	time	discontinued	34	34	32	32	The `` Williston Hymn '' was a standby at the beginning and end of year assemblies , as well as at the Cum Laude assembly , for many decades -LRB- although apparently discontinued some time in the 2000s -RRB- .
71900259	football	discontinued	20	20	19	19	The Wichita State Shockers football program was a college football team that represented Wichita State University until the school discontinued football .
71906760	support	discontinues	5	5	3	3	The Wii U discontinues backwards-compatibility support for Nintendo GameCube discs and controllers , which also means that Wii games that support the GameCube ' s controller will instead require use of an alternate control scheme such as the Classic Controller when playing them on the Wii U .
71909255	service	discontinued	20	20	18	18	The wharf was previously served by Matilda Cruises until October 2005 , then Palm Beach Ferries , who discontinued the service in September 2006 .
71918211	service	discontinued	5	5	3	3	The White Pass discontinued regular service on the Lower Yukon River and Tanana River at the end of the 1941 season .
71968064	track	discontinued	8	8	6	6	The Texas and New Orleans Railroad discontinued its track from Cameron south to Giddings .
71976501	service	discontinued	9	9	21	21	The terminal had its own dedicated AC Transit feeder service from Point Richmond and downtown Richmond with route 374 also now discontinued .
72006036	tradition	discontinued	12	12	10	10	The term has lost its notoriety after the Vatican II discontinued the tradition of wearing the papal tiara .
72012212	business	discontinued	19	19	18	18	The term orphan car accurately applies to any marque of motor vehicle built by a manufacturer that has discontinued business entirely .
72132182	lease	discontinued	20	20	18	18	The track from Coldstream to Yarra Glen was formerly leased by the Yarra Valley Tourist Railway , who discontinued their lease due to the poor condition of bridges along the line .
72144468	medication	discontinuing	33	33	32	32	The treatments may include using joint supplements , joint replacement surgery , for severely damaged joints , immunosuppressants for immune system dysfunction , antibiotics when an infection is the cause , and discontinuing medication when an allergic reaction is the cause .
72212789	range	discontinue	19	19	15	15	The two sets of lights were often confused , and when it was proposed to discontinue the Spectacle Island range because the channel had shifted , the discontinuance was objected to because it was thought the other range was going to be eliminated .
72266896	education	discontinued	30	30	27	27	The Under 21 program , EdVance is for students between 18 and 20 years of age who feel the world is passing them by because they have discontinued their formal education before obtaining a high school diploma .
72289510	attack	discontinued	4	4	2	2	The U-boats discontinued the attack on 26 February .
72299214	service	discontinued	14	14	13	13	The track was torn out of this area when the narrow gauge company discontinued service between Galesburg and Fairview , Illinois .
72452193	program	discontinue	24	24	21	21	The Victorian council willingly transferred responsibility for its award to the new national body , while the Canberra council agreed to discontinue its rival program .
72452394	transportation	discontinue	17	17	16	16	The Victorian gold rush , commencing in the same year , led the British Government to discontinue transportation , because it was seen as an incentive for criminals to be transported to eastern Australia , and the last convict ship to be sent from England , the St .
72455634	practice	discontinued	17	17	15	15	The View on CTV and The Tonight Show on CTV Two , but has since discontinued this practice .
72491865	use	discontinued	26	26	25	25	The village used to be entirely served by an elementary school and a high school located in town , but the growing district has since discontinued use of those buildings , and has since built five elementary schools , two middle schools , and a high school on three different campuses districtwide .
72512013	LS	discontinue	25	25	23	23	The V6-powered model was dropped from the lineup due to poor sales volume and as a part of Ford ' s plan to discontinue the LS altogether .
72541981	medicine	discontinuing	16	16	14	14	The term `` withdrawal '' can sometimes be used to describe the results of discontinuing prescription medicine , as in SSRI discontinuation syndrome , though the term rebound effect is also used to characterize these conditions .
72562524	process	discontinue	18	18	15	15	The tie vote was broken by the vote of Mayor Brett Shelton who voted to discontinue the annexation process .
72589194	use	discontinued	5	5	3	3	The thirteenth Baronet discontinued the use of the surname of Liston in 1988 by decree of the Lord Lyon .
72592800	maintenance	discontinue	28	28	26	26	The thought experiment is based on documented results of the sudden removal of humans from a geographical area and the results that have occurred when people discontinue the maintenance of buildings and urban infrastructure .
